"datasetid","success","sitename"
"3563",1,"Pretty Lake"
"3565",1,"Saint-Raymond"
"3568",1,"Rice Lake"
"3582",1,"Rockyhock Bay"
"3583",1,"Rosebud"
"3608",0,"Sagehen Marsh"
"3609",0,"Sagehen Marsh"
"361",1,"Chase Pond"
"3611",1,"San Agustin Plains"
"3612",1,"San Agustin Plains"
"3613",0,"Sierra Bacha 1"
"3614",0,"Sierra Bacha 1"
"3615",0,"Sierra Bacha 1"
"3616",0,"Sierra Bacha 1"
"3617",0,"Sierra Bacha 1"
"3618",0,"Sierra Bacha 1"
"3619",0,"Sierra Bacha 1"
"367",1,"Cheyenne Bottoms"
"369",1,"Chippewa Bog"
"371",1,"Chism 1"
"373",1,"Chism 2"
"375",1,"Chatsworth Bog"
"3771",1,"Snow Lake"
"3772",0,"South Soefje Bog"
"3775",1,"Basswood Road Lake/Splan Pond"
"3780",0,NA
"3782",1,"Taylor Creek Site 2"
"3784",0,NA
"3786",0,NA
"3789",0,NA
"3790",1,"Tom Swamp"
"381",1,"Lac Ciel Blanc"
"3830",1,"Upper Wallface Pond"
"3831",1,"Vestaburg Bog"
"3837",1,"Weber Lake"
"3839",1,"Weslemkoon Lake"
"3840",1,"White Pond"
"3841",0,NA
"3858",0,"West Sand Lake Peat Bog"
"39335",0,NA
"41032",1,"Henrys Fork (lower exposure)"
"41034",1,"Henrys Fork (upper exposure)"
"4557",1,"Aino Pond"
"47621",0,"Pearson's Pond"
"489",1,"Clear Lake"
"490",0,"Clear Lake"
"492",1,"Clear Pond"
"493",1,"Clearwater Lake"
"496",1,"Coghill Lake"
"497",1,"Colo Marsh"
"498",1,"Columbine Ranch Fen"
"500",1,"Comb Lake"
"501",1,"Compass Pond"
"502",0,"Conklin Quarry"
"506",1,"Copley Lake"
"508",1,"Lac Côté"
"510",1,"Tourbière de Lanoraie COTEAU JAUNE"
"513",1,"Cottonwood Lake"
"514",1,"Cottonwood Pass Pond"
"516",1,"Cranberry Lake"
"517",1,"Crane Lake"
"518",1,"Cranberry Glades"
"519",1,"Crates Lake"
"522",0,"Creditview Wetland"
"523",1,"Crider's Pond"
"524",1,"Cristal Lake"
"525",1,"Crowfoot Lake"
"527",1,"Crowsnest Lake"
"533",1,"Cub Creek Pond"
"534",1,"Cub Lake"
"538",1,"Cummins Pond"
"539",1,"Cupola Pond"
"543",1,"Cygnet Lake Fen"
"550",1,"Davis Lake"
"671",1,"Toadlena Lake [Dead Man Lake]"
"672",1,"Decoy Lake"
"673",1,"Deer Lake Bog"
"675",1,"Delorme 1"
"678",1,"Lac Demain"
"681",1,"Denton Lake"
"683",1,"Devils Lake, Main Bay"
"685",0,"Devon Island Glacier"
"688",1,"Diana 375"
"691",1,"Lac du Diable"
"693",1,"Dinkey Meadow"
"699",1,"Dismal Swamp (91)"
"7",1,"Three Pines Bog"
"700",0,NA
"701",1,"Divide Lake"
"719",1,"Dome Creek Meadow"
"721",0,"Donut Pond Bog"
"722",1,"Dosquet"
"772",1,"Duck Pond"
"773",1,"Lac Dufresne"
"776",1,"Eagle Lake Bog"
"777",1,"Eagle Lake"
"778",1,"Eaglenest Lake"
"781",0,"East Twin Lake"
"782",1,"East Baltic Bog"
"7829",0,"Natural Bridges National Monument"
"785",1,"Edward Lake"
"790",1,"Eldora Fen"
"796",1,"Emerald Lake"
"803",1,"Ennadai Lake"
"805",1,"Lake Erie"
"806",0,"Ernst Brother's Pit"
"808",1,"East Sooke Fen"
"810",1,"Lac à la Fourche"
"811",1,"Etivlik Lake"
"813",1,"East Twin Lake"
"815",1,"Excelsior Basin"
"816",1,"Exchequer Meadow"
"821",1,"Tourbière de Farnham"
"823",1,"Fawn Lake (CA:Ontario)"
"828",1,"Ferndale Bog"
"829",1,"Fiddler's Pond"
"832",1,"Fish Lake"
"834",1,"Beaverhouse Lake"
"835",1,"Floating Island Lake"
"841",0,"Forest Pond 1"
"843",1,"Forest Pond 2"
"844",1,"Forest Lake"
"849",1,"Hayes Lake"
"850",1,"French Lake"
"851",1,"Frenchmens Bay"
